ENERGY,TOTFAT,CHOL,TOTALCARB,ADDSUG,PROT,VITD,VITA,VITB2,VITB12,VITC,CALC,SOD,IRON,POT,PHOS,HLTI,VIT_ESS,PROT_IN,LOW_SOD
1,0,2,1,2,0,2,0,0,2,2,2,0,0,1,1,20.15,14.51,7.88,14.21
2,1,0,2,1,0,2,0,2,1,0,2,0,1,1,1,21.02,12.94,8.33,14.87
2,0,2,0,0,1,2,0,1,1,2,0,2,1,1,1,18.06,10.72,7.03,6.05
1,1,0,1,0,1,1,1,0,2,2,0,2,2,2,2,22.88,10.92,7.2,10.83
2,0,2,0,1,0,1,0,2,1,0,2,1,0,0,2,12.59,6.31,5.98,6.36
1,1,0,1,0,0,0,2,2,2,0,0,1,0,1,1,18.57,12.68,5.01,10.54
2,1,2,0,0,0,1,0,2,0,2,1,0,2,2,1,19.1,12.85,9.53,12.25
0,1,1,1,1,1,0,1,0,2,0,1,0,0,0,1,17.67,6.03,3.61,14.32
0,0,2,0,1,1,0,0,2,1,2,1,0,1,0,1,17.88,12.57,5.06,10.55
2,1,1,1,2,2,1,1,0,0,0,0,1,2,1,1,18.91,2.04,11.1,8.94
2,0,1,0,1,0,1,1,0,2,0,0,2,0,0,0,10.71,4.77,3.18,6.88
1,2,0,0,1,2,0,1,2,2,1,0,1,2,0,1,16.45,10.31,9.83,2.23
0,1,0,0,0,1,1,2,2,2,0,0,0,1,0,0,17.43,14.77,3.63,10.47
2,0,1,2,0,1,2,1,1,2,2,1,2,2,2,2,24.34,16.82,8.61,10.19
0,0,1,0,1,0,0,2,1,2,1,1,2,0,1,2,16.96,10.6,5.54,10.07
2,2,0,1,0,2,0,2,1,1,0,2,2,0,0,2,16.3,6.49,9.89,6.29
0,1,2,1,0,1,1,1,2,1,2,2,2,1,0,2,19.71,12.41,5.45,8.01
0,0,0,0,2,2,1,1,1,1,2,0,0,2,2,1,20.9,6.64,9.28,10.9
0,2,1,1,1,0,1,1,2,0,2,2,2,0,2,1,16.02,10.25,5.67,10.59
2,2,2,1,2,1,2,2,1,0,0,0,1,0,1,0,13.51,8.53,5.17,6.73
2,2,2,0,2,2,0,0,0,1,1,1,0,1,2,0,14.77,4.8,13.16,8.78
0,0,1,2,2,2,0,0,1,0,2,2,0,2,0,0,15.57,8.95,8.4,10.48
0,0,1,1,0,1,0,1,2,2,2,1,2,2,2,1,23.42,16.57,7.04,12.1
2,0,2,0,1,1,0,2,1,0,2,0,0,2,2,0,17.18,10.31,7.87,10.35
2,2,0,2,2,1,1,0,2,1,2,2,1,2,2,0,18.5,12.08,8.34,8.95
1,1,1,2,1,0,0,2,0,0,1,2,2,0,0,2,13.95,6.61,4.51,8.37
2,2,2,1,0,2,1,0,1,0,2,2,1,0,2,1,16.83,6.86,11.94,6.88
0,2,2,2,1,0,2,0,2,2,0,2,2,0,1,0,10.63,14.76,4.76,6.14
2,2,2,0,2,0,2,1,2,1,0,0,2,2,1,1,14.13,10.74,7.97,4.66
0,2,2,1,2,0,1,1,0,0,0,0,1,0,2,0,6.56,0.31,3.42,6.36
0,0,2,1,0,1,0,2,0,0,2,2,0,0,1,1,18.15,10.58,5.48,14.5
1,0,1,1,0,0,2,1,0,2,0,1,2,2,0,2,19.09,12.13,7.36,10.42
0,0,0,1,0,0,1,2,1,1,2,0,1,1,2,2,19.87,10.86,5.69,10.08
0,1,2,1,1,0,2,2,0,0,0,0,0,0,0,1,12.4,8.28,1.16,10.91
1,2,1,1,0,2,1,0,0,0,1,0,1,0,1,1,14.16,0.15,9.85,6.6
1,2,0,0,2,2,1,2,1,0,2,0,2,0,2,0,14.54,8.43,9.32,4.95
0,0,0,0,2,2,1,0,2,0,0,1,0,0,1,1,17.57,6.51,9.79,12.71
0,1,1,0,0,1,1,0,2,0,0,2,0,2,0,2,17.97,8.59,5.69,12.07
0,0,1,0,1,2,2,2,1,2,1,2,0,1,2,0,22.26,16.35,11.86,12.43
1,1,2,2,1,2,2,2,0,0,0,0,2,0,2,1,14.45,8.07,8.74,4.52
2,2,1,2,0,1,1,2,2,2,0,0,1,2,0,1,17.17,14.67,4.62,4.25
1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,1,17.44,0.82,7.13,10.31
1,1,2,1,2,0,0,1,0,1,0,1,0,2,1,1,18.87,4.88,9.17,14.64
2,2,2,0,0,2,1,0,1,2,0,2,2,2,0,0,12.22,8.16,11.24,2.42
0,2,0,1,0,0,2,2,0,2,1,2,1,2,0,0,15.03,16.74,5.61,8.34
2,1,0,1,1,2,0,1,1,0,0,1,0,0,2,1,20.02,2.34,11.72,14.51
2,0,2,1,1,0,1,2,0,2,0,1,2,2,0,2,17.41,12.74,7.84,8.5
1,0,2,2,2,0,0,1,2,0,2,0,1,1,1,1,15.53,10.49,6.65,6.34
2,1,0,1,1,2,2,2,2,0,0,0,2,0,2,0,18.31,12.27,9.31,8.8
1,0,0,2,0,1,0,0,2,1,1,0,0,0,0,2,16.41,4.96,2.68,10.1
1,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,19.98,20.29,9.03,6.87
1,1,2,1,1,0,1,2,0,0,2,0,2,1,0,0,13.77,10.08,5.24,6.24
2,2,1,2,2,2,1,1,1,2,0,0,2,2,2,1,17.74,6.97,10.02,4.93
0,0,2,2,1,2,0,0,0,2,0,0,2,0,1,1,10.42,4.14,6.46,4.07
1,2,2,1,0,1,0,2,0,2,1,1,0,1,2,0,19.21,12.52,9.83,12.96
2,2,2,2,2,1,0,0,1,0,0,2,2,2,1,0,11.73,4.27,8.48,6.51
0,0,2,2,0,1,0,1,0,0,2,0,0,2,1,0,13.44,6.07,4.51,10.45
0,2,0,0,0,0,1,1,0,1,1,0,2,2,2,1,12.13,2.67,5.15,6.67
1,2,1,1,1,0,0,0,1,0,0,1,2,1,0,0,11.1,4.51,7.41,8.78
0,2,0,1,0,1,0,2,2,0,2,2,1,1,0,1,18.48,16.2,5.03,8.7
0,0,0,2,0,2,2,1,0,0,0,2,2,1,1,0,15.8,8.69,10.28,8.72
0,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,20.04,16.66,7.79,8.87
1,1,2,1,0,2,1,1,0,2,1,0,2,1,1,0,17.95,6.99,11.79,6.78
0,2,0,1,1,0,2,0,2,0,2,1,1,0,1,0,14.24,14.58,5.63,10.8
2,0,1,1,0,1,2,0,1,2,2,2,0,2,2,1,27.35,16.3,9.75,16.7
1,2,1,1,2,2,0,2,2,2,2,0,2,2,1,1,22.28,18.29,11.06,6.65
2,0,1,2,2,2,1,0,0,0,0,1,0,2,0,0,15.26,4.25,10.47,10.08
0,2,2,2,1,0,2,0,2,0,2,0,2,2,1,1,12.7,14.96,4.94,4.48
0,2,0,2,1,2,1,1,2,2,0,1,2,1,0,0,14.83,12.83,8.32,4.82
0,1,1,0,0,2,2,2,1,2,2,1,2,1,1,2,23.85,20.65,11.05,8.02
0,2,2,1,1,2,2,1,1,1,2,2,0,0,0,0,15.76,10.9,7.95,8.45
2,1,2,1,0,1,1,2,0,2,1,1,2,0,0,0,16.98,10.17,5.07,8.28
1,0,0,0,2,1,2,0,2,0,0,0,1,0,1,1,16.92,8.69,5.57,8.08
1,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,10.8,8.22,3.55,6.58
0,0,1,2,1,1,1,2,1,0,1,1,2,0,1,0,15.57,6.47,4.76,10.86
1,0,0,2,0,0,0,0,1,2,2,2,2,0,2,2,17.39,10.05,6.07,10.61
2,2,0,0,1,0,0,2,0,1,2,0,2,0,0,1,11.45,8.36,3.08,4
0,2,2,0,2,2,2,1,0,0,0,1,2,0,0,1,9.13,6.68,7.27,2.75
1,1,2,1,0,0,0,2,0,2,0,0,1,1,0,0,12.52,10.47,5.88,6.45
1,1,1,0,0,2,0,2,2,0,2,0,2,2,2,0,18.49,14.93,11.19,6.42
1,0,2,2,1,1,2,0,1,1,1,1,0,0,1,0,17.98,6.16,6.78,12.12
1,2,1,1,2,2,1,1,0,1,0,0,0,0,1,0,15.59,0.45,9.55,10.59
0,0,0,1,1,0,0,2,1,1,2,1,1,1,2,2,20.81,12.86,7.6,12.35
0,2,1,2,1,2,1,1,0,2,1,1,0,1,1,2,19.65,8.87,10.21,10.62
0,2,2,0,0,2,1,2,0,1,1,1,2,1,1,1,15.73,8.94,11.96,4.85
1,1,1,2,2,1,1,1,0,1,1,2,1,0,2,1,18.35,2.61,6.31,10.67
2,2,2,1,0,1,1,1,0,2,0,2,2,0,0,0,12.82,6.19,5.8,6.35
2,0,0,2,1,0,0,1,0,0,1,2,2,1,0,1,14.62,4.69,6.22,8.65
0,2,2,0,0,1,2,0,1,0,2,1,1,0,2,1,13.61,10.59,5.86,6.48
2,1,2,2,0,0,0,2,0,1,2,2,2,0,1,0,13.24,10.58,6.45,8.52
0,0,0,2,0,1,1,0,2,0,2,0,2,0,2,2,15.44,8.42,2.52,8.07
2,2,0,2,2,2,0,2,2,1,0,0,0,0,1,0,15.02,8.39,8.4,8.35
2,2,1,2,1,0,1,1,2,1,0,1,0,0,0,2,15.96,6.77,4.01,10.93
2,1,0,2,1,1,2,0,0,0,2,2,1,2,1,1,20.7,12.62,8.88,10.94
2,1,2,0,1,0,1,0,1,2,1,1,1,1,0,1,15.22,8.01,7.12,6.38
2,2,1,0,1,1,2,1,1,2,0,0,2,2,2,2,18.13,10.01,7.21,6.38
1,1,2,0,0,2,0,2,2,1,0,2,1,0,0,0,13.02,10.12,9.35,4.42
1,0,1,2,0,1,0,0,2,1,2,2,0,0,2,1,21.18,10.47,6.36,14.8
1,0,0,1,2,2,2,0,2,1,0,2,0,0,2,2,23.21,10.71,11.96,14.89
1,2,2,1,1,1,0,1,2,0,0,2,0,1,2,0,17.93,8.8,9.36,12.02
1,1,0,1,2,2,0,1,1,0,2,1,2,0,1,0,18.39,6.8,11.58,10.27
0,1,2,1,2,2,0,2,0,2,2,2,1,0,0,0,14.94,14.75,7.27,6.53
0,2,1,1,2,1,2,1,2,0,2,1,2,2,1,2,21.53,16.7,7.2,10.43
1,1,0,0,1,1,1,0,1,1,1,0,2,0,0,1,14.2,0.78,3.3,6.95
2,2,0,2,0,2,1,2,2,0,0,1,2,2,1,0,17.26,12.51,12.97,6.95
2,0,2,1,0,0,2,1,0,0,1,1,1,0,1,2,16.99,6.03,7.95,10.65
0,2,1,0,1,2,1,2,2,2,2,2,2,2,1,2,21.71,20.86,11.75,6.54
1,2,1,1,2,2,0,1,1,0,0,2,1,0,2,1,16.37,2.38,11.44,8.52
1,2,2,2,2,0,0,1,0,0,2,0,1,0,2,1,9.43,4.33,4.45,4.39
1,2,2,2,1,0,0,0,0,1,0,1,1,1,1,1,11.41,4.06,8.55,6.26
