PRODUCT_ID,PRODUCT_NAME,BRAND,PRICE,AVG_RATING,NUM_RATING,PACKAGING,CFOOT,RECYCLE,BIODEG,ORGANIC,EMISSIONS,IMPORTED,PROCESSED,VEGAN,VEG,ENERGY,TOTFAT,CHOL,TOTALCARB,ADDSUG,PROT,VITD,VITA,VITB2,VITB12,VITC,CALC,SOD,IRON,POT,PHOS,MILK,EGGS,PEANUTS,NUTS,SOY,WHEAT,FISH,SHELLFISH,SESAME,MUSTARD,GLUTEN
1,Fresh Honeycrisp Apples Each,Walmart,1.97,1.7,1430,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Fresh Organic Pink Lady Apples,Marketside,1.78,1.9,173,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Fresh Cosmic Crisp Apples,Cosmic Crisp,1.56,2.4,266,2,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Crunch Pak Fresh Sweet Peeled Apple Slices,Crunch Pak,3.98,2.3,84,2,2,1,1,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Marketside Fresh Spinach ,Marketside,3.64,2.5,1487,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
6,Great Value Chopped Spinach Frozen,Great Value,1.63,2.7,33,1,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Great Value Canned Leaf Spinach,Great Value,1.71,4.1,233,2,2,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
8,Allens Popeye Chopped Spinach,Allens Popeye,2.16,4.1,143,2,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
9,Fresh Whole Carrots ,Walmart,0.98,2.2,712,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Baby Peeled Carrots,Bolthouse Farms,1.32,3.9,1848,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
